ProductCode,Name,Category,Brand,Type,FixedAssetType,CostingMethod,Length,Width,Height,Weight,CartonLength,CartonWidth,CartonHeight,CartonInnerQuantity,CartonQuantity,CartonVolume,WeightUnits,DimensionUnits,Barcode,MinimumBeforeReorder,ReorderQuantity,DefaultLocation,LastSuppliedBy,SupplierProductCode,SupplierProductName,SupplierFixedPrice,PriceTier1,PriceTier2,PriceTier3,PriceTier4,PriceTier5,PriceTier6,PriceTier7,PriceTier8,PriceTier9,PriceTier10,AssemblyBOM,AutoAssemble,AutoDisassemble,DropShip,DropShipSupplier,AverageCost,DefaultUnitOfMeasure,InventoryAccount,RevenueAccount,ExpenseAccount,COGSAccount,ProductAttributeSet,AdditionalAttribute1,AdditionalAttribute2,AdditionalAttribute3,AdditionalAttribute4,AdditionalAttribute5,AdditionalAttribute6,AdditionalAttribute7,AdditionalAttribute8,AdditionalAttribute9,AdditionalAttribute10,DiscountName,ProductFamilySKU,ProductFamilyName,ProductFamilyOption1Name,ProductFamilyOption1Value,ProductFamilyOption2Name,ProductFamilyOption2Value,ProductFamilyOption3Name,ProductFamilyOption3Value,CommaDelimitedTags,StockLocator,PurchaseTaxRule,SaleTaxRule,Status,Description,ShortDescription,Sellable,PickZones,AlwaysShowQuantity,WarrantySetupName,InternalNote,ProductionBOM,MakeToOrderBom,QuantityToProduce,IsAccountingDimensionEnabled,DimensionAttribute1,DimensionAttribute2,DimensionAttribute3,DimensionAttribute4,DimensionAttribute5,DimensionAttribute6,DimensionAttribute7,DimensionAttribute8,DimensionAttribute9,DimensionAttribute10,HSCode,CountryOfOrigin
10303,12 Pack 4 Oz Dough,Toys,KIDDY DOUGH,Stock,,FIFO,0,0,0,0,0,0,0,0,0,0,lb,in,,0,0,FOB,"DAVID Suzhou Creative Kids Co., Ltd",,,0,0,0,0,0,0,0,0,0,0,0,No,No,No,No Drop Ship,,2.36,Unit,,,,,,,,,,,,,,,,,,,,,,,,,,,Tax Exempt,Tax Exempt,ACTIVE,,,Yes,,0,,,No,No,1,FALSE,,,,,,,,,,,,China
10303-Case Pack 6,12 Pack 4 Oz Dough-Casepack 6,Toys,KIDDY DOUGH,Stock,,FIFO,0,0,0,0,0,0,0,0,0,0,lb,in,,0,0,FOB,"DAVID Suzhou Creative Kids Co., Ltd",,,0,0,0,0,0,0,0,0,0,0,0,Yes,Yes,Yes,No Drop Ship,,11.0133,Case Pack 6,,,,,,,,,,,,,,,,,,,,,,,,,,,Tax Exempt,Tax Exempt,ACTIVE,,,Yes,,0,,,No,No,1,FALSE,,,,,,,,,,,,China
77007,20PC Jumbo Chalk Set,Toys,Creative Kids,Stock,,FIFO,0,0,0,0,0,0,0,0,0,0,lb,in,,0,0,FOB,,,,0,0,0,0,0,0,0,0,0,0,0,No,No,No,No Drop Ship,,0,Unit,,,,,,,,,,,,,,,,,,,,,,,,,,,Tax Exempt,Tax Exempt,ACTIVE,,,Yes,,0,,,No,No,1,FALSE,,,,,,,,,,,,China
77007-Case Pack 12,20PC Jumbo Chalk Set-Casepack 12,Toys,Creative Kids,Stock,,FIFO,0,0,0,0,0,0,0,0,0,0,lb,in,,0,0,FOB,,,,0,0,0,0,0,0,0,0,0,0,0,Yes,Yes,Yes,No Drop Ship,,0,Case Pack 12,,,,,,,,,,,,,,,,,,,,,,,,,,,Tax Exempt,Tax Exempt,ACTIVE,,,Yes,,0,,,No,No,1,FALSE,,,,,,,,,,,,China
77007-Case Pack 6,20PC Jumbo Chalk Set-Casepack 6,Toys,Creative Kids,Stock,,FIFO,0,0,0,0,0,0,0,0,0,0,lb,in,,0,0,FOB,,,,0,0,0,0,0,0,0,0,0,0,0,Yes,Yes,Yes,No Drop Ship,,0,Case Pack 6,,,,,,,,,,,,,,,,,,,,,,,,,,,Tax Exempt,Tax Exempt,ACTIVE,,,Yes,,0,,,No,No,1,FALSE,,,,,,,,,,,,China
KDTOOL-24ANI-75772,24 Piece Animal Shape Dough Tool Kit,Toys,Creative Kids,Stock,,FIFO,0,0,0,0.4,0,0,0,0,0,0,lb,in,,0,0,Amazon FBA,"DAVID Suzhou Creative Kids Co., Ltd",,,0,19.99,0,0,0,0,0,0,0,0,0,No,No,No,No Drop Ship,,1.31,Unit,,,,,,,,,,,,,,,,,,,,,,,,,"3-5, featured, KIDDY DOUGH, Kiddy Dough™, MCF, Retail",,Tax Exempt,Tax Exempt,ACTIVE,,,Yes,,0,,,No,No,1,FALSE,,,,,,,,,,,,
86172-Case Pack 10,4 Pack Kiddy Dough,Toys,KIDDY DOUGH,Stock,,FIFO,0,0,0,0,0,0,0,0,0,0,lb,in,,0,0,FOB,,,,0,0,0,0,0,0,0,0,0,0,0,Yes,Yes,Yes,No Drop Ship,,0,Case Pack 10,,,,,,,,,,,,,,,,,,,,,,,,,,,Tax Exempt,Tax Exempt,ACTIVE,,,Yes,,0,,,No,No,1,FALSE,,,,,,,,,,,,China
KD-4042PARTY-77516,40 Pack Of Party Favors Play Dough + 40 Dough Tools - Bulk Party Pack,Toys,Creative Kids,Stock,,FIFO,0,0,0,3.2,0,0,0,0,0,0,lb,in,,0,0,Amazon FBA,,,,0,24.99,0,0,0,0,0,0,0,0,0,No,No,No,No Drop Ship,,5.8,Unit,,,,,,,,,,,,,,,,,,,,,,,,,"3-5, featured, KIDDY DOUGH, Kiddy Dough™, MCF, Retail",,Tax Exempt,Tax Exempt,ACTIVE,,,Yes,,0,,,No,No,1,FALSE,,,,,,,,,,,,
63645,4-1 MEGA SET,Toys,Creative Kids,Stock,,FIFO,0,0,0,0,0,0,0,0,0,0,lb,in,,0,0,FOB,"DAVID Suzhou Creative Kids Co., Ltd",,,0,19.99,0,0,0,0,0,0,0,0,0,No,No,No,No Drop Ship,,0,Unit,,,,,,,,,,,,,,,,,,,,,,,,,"Description, FaireImport, Images, MarketTimePrice, Wholesale",,Tax Exempt,Tax Exempt,ACTIVE,,,Yes,,0,,,No,No,1,FALSE,,,,,,,,,,,,
63645-Case Pack 6,4-1 MEGA SET-Casepack 6,Toys,Creative Kids,Stock,,FIFO,0,0,0,0,0,0,0,0,6,0,lb,in,,0,0,FOB,"DAVID Suzhou Creative Kids Co., Ltd",,,0,0,0,0,0,0,0,0,0,0,0,Yes,Yes,Yes,No Drop Ship,,0,Case Pack 6,,,,,,,,,,,,,,,,,,,,,,,,,,,Tax Exempt,Tax Exempt,ACTIVE,,,Yes,,0,,,No,No,1,FALSE,,,,,,,,,,,,
63645-Case Pack 6 PDQ,4-1 MEGA SET-Casepack 6 PDQ,Toys,Creative Kids,Stock,,FIFO,0,0,0,0,0,0,0,0,0,0,lb,in,,0,0,FOB,,,,0,0,0,0,0,0,0,0,0,0,0,Yes,Yes,Yes,No Drop Ship,,0,Case Pack 6 PDQ,,,,,,,,,,,,,,,,,,,,,,,,,,,Tax Exempt,Tax Exempt,ACTIVE,,,Yes,,0,,,No,No,1,FALSE,,,,,,,,,,,,
KDTOOL-42ABC-76699,42-Piece Tools Party Pack w/Letters and Numbers,Toys,Creative Kids,Stock,,FIFO,0,0,0,0.42,0,0,0,0,0,0,lb,in,,0,0,Amazon FBA,"DAVID Suzhou Creative Kids Co., Ltd",,,0,19.99,0,0,0,0,0,0,0,0,0,No,No,No,No Drop Ship,,1.48,Unit,,,,,,,,,,,,,,,,,,,,,,,,,"3-5, featured, KIDDY DOUGH, Kiddy Dough™, MCF, Retail",,Tax Exempt,Tax Exempt,ACTIVE,,,Yes,,0,,,No,No,1,FALSE,,,,,,,,,,,,China
KDTOOL-42ABC-76699-Case Pack 12,42-Piece Tools Party Pack w/Letters and Numbers-Casepack 12,Toys,Creative Kids,Stock,,FIFO,0,0,0,0.42,0,0,0,0,0,0,lb,in,,0,0,Amazon FBA,"DAVID Suzhou Creative Kids Co., Ltd",,,0,0,0,0,0,0,0,0,0,0,0,No,No,No,No Drop Ship,,21.72,Case Pack 12,,,,,,,,,,,,,,,,,,,,,,,,,,,Tax Exempt,Tax Exempt,ACTIVE,,,Yes,,0,,,No,No,1,FALSE,,,,,,,,,,,,
KDTOOL-42ABC-76699-Case Pack 24,42-Piece Tools Party Pack w/Letters and Numbers-Casepack 24,Toys,Creative Kids,Stock,,FIFO,0,0,0,0.42,0,0,0,0,0,0,lb,in,,0,0,Amazon FBA,,,,0,0,0,0,0,0,0,0,0,0,0,Yes,Yes,Yes,No Drop Ship,,0,Case Pack 24,,,,,,,,,,,,,,,,,,,,,,,,,,,Tax Exempt,Tax Exempt,ACTIVE,,,Yes,,0,,,No,No,1,FALSE,,,,,,,,,,,,
KDTOOL-42ABC-76699-Case Pack 6,42-Piece Tools Party Pack w/Letters and Numbers-Casepack 6,Toys,Creative Kids,Stock,,FIFO,0,0,0,0.42,0,0,0,0,0,0,lb,in,,0,0,Amazon FBA,,,,0,0,0,0,0,0,0,0,0,0,0,Yes,No,No,No Drop Ship,,0,Case Pack 6,,,,,,,,,,,,,,,,,,,,,,,,,,,Tax Exempt,Tax Exempt,ACTIVE,,,Yes,,0,,,No,No,1,FALSE,,,,,,,,,,,,
CK-ADCLAY-50PK-60399,50 Pack Of Air Dry Clay Modeling Crafts Kit,Toys,Creative Kids,Stock,,FIFO,0,0,0,3.67,0,0,0,0,0,0,lb,in,,0,0,Amazon FBA,,,,0,29.99,0,0,0,0,0,0,0,0,0,No,No,No,No Drop Ship,,6.33,Unit,,,,,,,,,,,,,,,,,,,,,,,,,"3-5, CREATIVE KIDS, Creative Kids™, featured, MCF, Retail, Shop All Creative Kids Exclusive Online Products, Tactile Adventures",,Tax Exempt,Tax Exempt,ACTIVE,,,Yes,,0,,,No,No,1,FALSE,,,,,,,,,,,,
78573,50PC CHALK IN BUCKET,Toys,Creative Kids,Stock,,FIFO,0,0,0,0,0,0,0,0,0,0,lb,in,,0,0,FOB,Hubei Yakata Chalk Products Factory Inc,,,0,0,0,0,0,0,0,0,0,0,0,No,No,No,No Drop Ship,,0,Unit,,,,,,,,,,,,,,,,,,,,,,,,,,,Tax Exempt,Tax Exempt,ACTIVE,,,Yes,,0,,,No,No,1,FALSE,,,,,,,,,,,,China
78573-Case Pack 4,50PC CHALK IN BUCKET-Casepack 4,Toys,Creative Kids,Stock,,FIFO,0,0,0,0,0,0,0,0,0,0,lb,in,,0,0,FOB,,,,0,0,0,0,0,0,0,0,0,0,0,Yes,Yes,Yes,No Drop Ship,,0,Case Pack 4,,,,,,,,,,,,,,,,,,,,,,,,,,,Tax Exempt,Tax Exempt,ACTIVE,,,Yes,,0,,,No,No,1,FALSE,,,,,,,,,,,,
KD-80PACK-77485,80 Pack Of Party Favors Play Dough - Bulk Party Pack,Toys,Creative Kids,Stock,,FIFO,0,0,0,7,0,0,0,0,0,0,lb,in,,0,0,Amazon FBA,"DAVID Suzhou Creative Kids Co., Ltd",,,0,39.99,0,0,0,0,0,0,0,0,0,No,No,No,No Drop Ship,,6.58,Unit,,,,,,,,,,,,,,,,,,,,,,,,,"3-5, KIDDY DOUGH, Kiddy Dough™, MCF, Retail",,Tax Exempt,Tax Exempt,ACTIVE,,,Yes,,0,,,No,No,1,FALSE,,,,,,,,,,,,
